,,,,,02-APR-2026,10:59:19,2633219,
,5.8740000E-04,Adc,,
,5.8740000E-04,Adc,,
,5.8740000E-04,Adc,,
,5.8580000E-04,Adc,,
,5.8590000E-04,Adc,,
,5.8610000E-04,Adc,,
,5.8620000E-04,Adc,,
,5.8610000E-04,Adc,,
,5.8800000E-04,Adc,,
,5.8820000E-04,Adc,,
,5.8840000E-04,Adc,,
,8.0936000E-03,Adc,,
,3.9184200E-02,Adc,,
,3.7374500E-02,Adc,,
,3.5388800E-02,Adc,,
,3.1617500E-02,Adc,,
,2.7682300E-02,Adc,,
,2.3691100E-02,Adc,,
,1.9714700E-02,Adc,,
,1.5729200E-02,Adc,,
,1.1743100E-02,Adc,,
,7.7889000E-03,Adc,,
,3.8588000E-03,Adc,,
,7.5720000E-04,Adc,,
,5.8830000E-04,Adc,,
,5.8830000E-04,Adc,,
,5.8830000E-04,Adc,,
,5.8850000E-04,Adc,,
,-1.3334000E-03,Adc,,
,-5.3109000E-03,Adc,,
,-9.3024000E-03,Adc,,
,-1.3298600E-02,Adc,,
,-1.7294000E-02,Adc,,
,-2.1274000E-02,Adc,,
,-2.5227400E-02,Adc,,
,-2.9183000E-02,Adc,,
,-3.3187100E-02,Adc,,
,-3.7108200E-02,Adc,,
,-4.0956700E-02,Adc,,
,-2.0810200E-02,Adc,,
,5.8970000E-04,Adc,,
,5.8970000E-04,Adc,,
,5.9000000E-04,Adc,,
,5.9230000E-04,Adc,,
,5.9080000E-04,Adc,,
,5.9100000E-04,Adc,,
,5.9110000E-04,Adc,,
,5.9100000E-04,Adc,,
,5.9100000E-04,Adc,,
,5.9110000E-04,Adc,,
,5.8940000E-04,Adc,,
,5.8930000E-04,Adc,,
,5.8930000E-04,Adc,,
,5.8950000E-04,Adc,,
,5.9120000E-04,Adc,,
,5.9120000E-04,Adc,,
,5.9140000E-04,Adc,,
,5.9130000E-04,Adc,,
,5.9130000E-04,Adc,,
,5.9120000E-04,Adc,,
,5.9110000E-04,Adc,,
,5.8940000E-04,Adc,,
,5.9150000E-04,Adc,,
,5.9150000E-04,Adc,,
,5.9160000E-04,Adc,,
,5.9140000E-04,Adc,,
,5.9120000E-04,Adc,,
,5.9130000E-04,Adc,,
,5.9150000E-04,Adc,,
,5.9160000E-04,Adc,,
,5.8940000E-04,Adc,,
,3.9649800E-02,Adc,,
,3.9329300E-02,Adc,,
,3.6116700E-02,Adc,,
,3.2377000E-02,Adc,,
,2.8457600E-02,Adc,,
,2.4466800E-02,Adc,,
,2.0487800E-02,Adc,,
,1.6504900E-02,Adc,,
,1.2526300E-02,Adc,,
,8.5477000E-03,Adc,,
,4.6165000E-03,Adc,,
,1.1208000E-03,Adc,,
,5.9120000E-04,Adc,,
,5.9130000E-04,Adc,,
,5.9150000E-04,Adc,,
,5.9370000E-04,Adc,,
,5.9360000E-04,Adc,,
,1.1300000E-04,Adc,,
,-3.3615000E-03,Adc,,
,-7.3408000E-03,Adc,,
,-1.1343100E-02,Adc,,
,-1.5338500E-02,Adc,,
,-1.9313100E-02,Adc,,
,-2.3297800E-02,Adc,,
,-2.7235400E-02,Adc,,
,-3.1216800E-02,Adc,,
,-3.5185300E-02,Adc,,
,-3.9087400E-02,Adc,,
,-4.2107400E-02,Adc,,
,5.9010000E-04,Adc,,
,5.9190000E-04,Adc,,
,5.9170000E-04,Adc,,
,5.9200000E-04,Adc,,
,5.9370000E-04,Adc,,
,5.9390000E-04,Adc,,
,5.9390000E-04,Adc,,
,5.9410000E-04,Adc,,
,5.9410000E-04,Adc,,
,5.9390000E-04,Adc,,
,5.9380000E-04,Adc,,
,5.9370000E-04,Adc,,
,5.9340000E-04,Adc,,
,5.9190000E-04,Adc,,
,5.9200000E-04,Adc,,
,5.9330000E-04,Adc,,
,5.9330000E-04,Adc,,
,5.9340000E-04,Adc,,
,5.9350000E-04,Adc,,
,5.9150000E-04,Adc,,
,5.9160000E-04,Adc,,
,5.9180000E-04,Adc,,
,5.9210000E-04,Adc,,
,5.9200000E-04,Adc,,
,5.9210000E-04,Adc,,
,5.9210000E-04,Adc,,
,5.9440000E-04,Adc,,
,5.9420000E-04,Adc,,
,5.9410000E-04,Adc,,
,5.9390000E-04,Adc,,
,5.9260000E-04,Adc,,
,5.9250000E-04,Adc,,
,5.9260000E-04,Adc,,
,5.9410000E-04,Adc,,
,5.9420000E-04,Adc,,
,5.9420000E-04,Adc,,
,5.9430000E-04,Adc,,
,5.9440000E-04,Adc,,
,5.9300000E-04,Adc,,
,5.9320000E-04,Adc,,
,5.9190000E-04,Adc,,
,5.9210000E-04,Adc,,
,5.9220000E-04,Adc,,
,5.9210000E-04,Adc,,
,5.9190000E-04,Adc,,
,5.9210000E-04,Adc,,
,5.9080000E-04,Adc,,
,5.9260000E-04,Adc,,
,,,,,02-APR-2026,10:59:50,