,,,,,02-APR-2026,15:00:00,2633219,
,5.5420000E-04,Adc,,
,5.5420000E-04,Adc,,
,5.5440000E-04,Adc,,
,5.5450000E-04,Adc,,
,5.5480000E-04,Adc,,
,5.5600000E-04,Adc,,
,5.5580000E-04,Adc,,
,5.5560000E-04,Adc,,
,5.5570000E-04,Adc,,
,5.5550000E-04,Adc,,
,5.5530000E-04,Adc,,
,5.5510000E-04,Adc,,
,5.5520000E-04,Adc,,
,5.5520000E-04,Adc,,
,5.5670000E-04,Adc,,
,5.5640000E-04,Adc,,
,5.5610000E-04,Adc,,
,5.5610000E-04,Adc,,
,5.5450000E-04,Adc,,
,5.5450000E-04,Adc,,
,5.5450000E-04,Adc,,
,5.5440000E-04,Adc,,
,8.3867000E-03,Adc,,
,9.8630000E-03,Adc,,
,9.8878000E-03,Adc,,
,9.8917000E-03,Adc,,
,9.8529000E-03,Adc,,
,9.8993000E-03,Adc,,
,9.9323000E-03,Adc,,
,9.8669000E-03,Adc,,
,9.8986000E-03,Adc,,
,9.8777000E-03,Adc,,
,9.8802000E-03,Adc,,
,9.8713000E-03,Adc,,
,9.8810000E-03,Adc,,
,9.9266000E-03,Adc,,
,9.8996000E-03,Adc,,
,9.9399000E-03,Adc,,
,9.8989000E-03,Adc,,
,9.8961000E-03,Adc,,
,9.1735000E-03,Adc,,
,7.4127000E-03,Adc,,
,5.6049000E-03,Adc,,
,3.7801000E-03,Adc,,
,1.9514000E-03,Adc,,
,6.6600000E-05,Adc,,
,-1.7973000E-03,Adc,,
,-3.6522000E-03,Adc,,
,-5.5042000E-03,Adc,,
,-7.3562000E-03,Adc,,
,-9.1307000E-03,Adc,,
,-9.6531000E-03,Adc,,
,-9.6509000E-03,Adc,,
,-9.6506000E-03,Adc,,
,-9.6466000E-03,Adc,,
,-9.6466000E-03,Adc,,
,-9.6498000E-03,Adc,,
,-9.6459000E-03,Adc,,
,-9.6458000E-03,Adc,,
,-9.6441000E-03,Adc,,
,-9.6438000E-03,Adc,,
,-9.6423000E-03,Adc,,
,-9.6401000E-03,Adc,,
,-9.6402000E-03,Adc,,
,-9.6400000E-03,Adc,,
,-9.6400000E-03,Adc,,
,-9.6397000E-03,Adc,,
,-9.6376000E-03,Adc,,
,-1.9981000E-03,Adc,,
,5.4880000E-04,Adc,,
,5.4890000E-04,Adc,,
,5.4890000E-04,Adc,,
,5.4910000E-04,Adc,,
,5.4940000E-04,Adc,,
,5.5060000E-04,Adc,,
,5.5060000E-04,Adc,,
,5.5080000E-04,Adc,,
,5.5200000E-04,Adc,,
,5.4990000E-04,Adc,,
,5.5000000E-04,Adc,,
,5.5020000E-04,Adc,,
,5.5040000E-04,Adc,,
,5.5350000E-04,Adc,,
,5.5320000E-04,Adc,,
,5.5310000E-04,Adc,,
,5.5280000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5100000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.4920000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5150000E-04,Adc,,
,5.5150000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5240000E-04,Adc,,
,5.5090000E-04,Adc,,
,5.5080000E-04,Adc,,
,5.4880000E-04,Adc,,
,5.4910000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5100000E-04,Adc,,
,5.5080000E-04,Adc,,
,5.5090000E-04,Adc,,
,5.5100000E-04,Adc,,
,5.5090000E-04,Adc,,
,5.5070000E-04,Adc,,
,5.5060000E-04,Adc,,
,5.5040000E-04,Adc,,
,5.5040000E-04,Adc,,
,5.5040000E-04,Adc,,
,5.5050000E-04,Adc,,
,5.5200000E-04,Adc,,
,5.5180000E-04,Adc,,
,5.5210000E-04,Adc,,
,5.5190000E-04,Adc,,
,5.5160000E-04,Adc,,
,5.4990000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5150000E-04,Adc,,
,5.5310000E-04,Adc,,
,5.5290000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5380000E-04,Adc,,
,5.5370000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5160000E-04,Adc,,
,5.5180000E-04,Adc,,
,5.4990000E-04,Adc,,
,5.5380000E-04,Adc,,
,5.5360000E-04,Adc,,
,5.5360000E-04,Adc,,
,5.5340000E-04,Adc,,
,5.5200000E-04,Adc,,
,5.5220000E-04,Adc,,
,5.5230000E-04,Adc,,
,5.5240000E-04,Adc,,
,5.5220000E-04,Adc,,
,5.5240000E-04,Adc,,
,5.5420000E-04,Adc,,
,5.5390000E-04,Adc,,
,5.5240000E-04,Adc,,
,5.5250000E-04,Adc,,
,5.5230000E-04,Adc,,
,5.5230000E-04,Adc,,
,5.5220000E-04,Adc,,
,5.5210000E-04,Adc,,
,5.5230000E-04,Adc,,
,5.5240000E-04,Adc,,
,5.5250000E-04,Adc,,
,5.5260000E-04,Adc,,
,5.5260000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5250000E-04,Adc,,
,5.5060000E-04,Adc,,
,5.5200000E-04,Adc,,
,5.5200000E-04,Adc,,
,5.5210000E-04,Adc,,
,5.5350000E-04,Adc,,
,5.5330000E-04,Adc,,
,5.5310000E-04,Adc,,
,5.5310000E-04,Adc,,
,5.5300000E-04,Adc,,
,5.5290000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5380000E-04,Adc,,
,5.5170000E-04,Adc,,
,5.5180000E-04,Adc,,
,5.5160000E-04,Adc,,
,5.4990000E-04,Adc,,
,5.4980000E-04,Adc,,
,5.4980000E-04,Adc,,
,5.5000000E-04,Adc,,
,5.5010000E-04,Adc,,
,5.5200000E-04,Adc,,
,5.5180000E-04,Adc,,
,5.5160000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.4990000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.4990000E-04,Adc,,
,5.5010000E-04,Adc,,
,5.5040000E-04,Adc,,
,5.5170000E-04,Adc,,
,5.5150000E-04,Adc,,
,5.5170000E-04,Adc,,
,5.5180000E-04,Adc,,
,5.5190000E-04,Adc,,
,5.5220000E-04,Adc,,
,5.5210000E-04,Adc,,
,5.5220000E-04,Adc,,
,5.5090000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5100000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5280000E-04,Adc,,
,5.5250000E-04,Adc,,
,5.5380000E-04,Adc,,
,5.5360000E-04,Adc,,
,5.5200000E-04,Adc,,
,5.5200000E-04,Adc,,
,5.5220000E-04,Adc,,
,5.5020000E-04,Adc,,
,5.5030000E-04,Adc,,
,5.5050000E-04,Adc,,
,5.5060000E-04,Adc,,
,5.5060000E-04,Adc,,
,5.5080000E-04,Adc,,
,5.5090000E-04,Adc,,
,5.5090000E-04,Adc,,
,5.5070000E-04,Adc,,
,5.5070000E-04,Adc,,
,5.5040000E-04,Adc,,
,5.5050000E-04,Adc,,
,5.5080000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5420000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5290000E-04,Adc,,
,5.5170000E-04,Adc,,
,5.5180000E-04,Adc,,
,5.5190000E-04,Adc,,
,5.5170000E-04,Adc,,
,5.5180000E-04,Adc,,
,5.5190000E-04,Adc,,
,5.5210000E-04,Adc,,
,5.5240000E-04,Adc,,
,5.5230000E-04,Adc,,
,5.5240000E-04,Adc,,
,5.5210000E-04,Adc,,
,5.5060000E-04,Adc,,
,5.5080000E-04,Adc,,
,5.5100000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.5150000E-04,Adc,,
,5.5170000E-04,Adc,,
,5.5020000E-04,Adc,,
,5.5040000E-04,Adc,,
,5.5060000E-04,Adc,,
,5.5090000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5140000E-04,Adc,,
,5.5130000E-04,Adc,,
,5.5120000E-04,Adc,,
,5.5100000E-04,Adc,,
,5.5080000E-04,Adc,,
,5.5100000E-04,Adc,,
,5.5100000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5280000E-04,Adc,,
,5.5280000E-04,Adc,,
,5.5280000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5250000E-04,Adc,,
,5.5230000E-04,Adc,,
,5.5220000E-04,Adc,,
,5.5210000E-04,Adc,,
,5.5200000E-04,Adc,,
,5.5220000E-04,Adc,,
,5.5210000E-04,Adc,,
,5.5060000E-04,Adc,,
,5.5050000E-04,Adc,,
,5.5030000E-04,Adc,,
,5.5050000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5250000E-04,Adc,,
,5.5230000E-04,Adc,,
,5.5090000E-04,Adc,,
,5.5100000E-04,Adc,,
,5.5110000E-04,Adc,,
,5.5240000E-04,Adc,,
,5.5270000E-04,Adc,,
,5.5420000E-04,Adc,,
,5.5430000E-04,Adc,,
,5.5440000E-04,Adc,,
,5.5430000E-04,Adc,,
,5.5560000E-04,Adc,,
,5.5350000E-04,Adc,,
,5.5370000E-04,Adc,,
,5.5370000E-04,Adc,,
,5.5170000E-04,Adc,,
,5.5450000E-04,Adc,,
,,,,,02-APR-2026,15:01:07,